MAE,MAPE,MSE,RMSE,data_seed,dataset,enhance_activation,epochs,final_loss,held_out_battery,initial_loss,l2,learning_rate,map_activation,mean_test_duration_min,method,min_test_length,n_enhance,n_map,n_sequences,n_train,resample_minutes,seed,smooth_l1_delta,test_cycles,timestamp,train_cycles,train_length
0.043880095964866375,0.012598047217494041,0.003574028068218015,0.056290637709960935,2022,XJTU-Batch-5,sigmoid,20000,0.020711308641722857,RW_battery-1,0.4895640114671563,0.001,0.01,tanh,28.377741116751263,SAGD-BLS,20,100,100,197.0,30,0.5,1,1.0,197,2026-05-24T20:27:24,RW_battery-2:32|RW_battery-4:81|RW_battery-5:22|RW_battery-2:241|RW_battery-3:282|RW_battery-4:48|RW_battery-3:48|RW_battery-3:189|RW_battery-4:56|RW_battery-2:30|RW_battery-7:68|RW_battery-3:43|RW_battery-7:79|RW_battery-2:175|RW_battery-3:188|RW_battery-3:285|RW_battery-7:113|RW_battery-2:69|RW_battery-4:133|RW_battery-4:40|RW_battery-2:23|RW_battery-3:166|RW_battery-4:132|RW_battery-5:135|RW_battery-4:119|RW_battery-2:95|RW_battery-2:132|RW_battery-6:21|RW_battery-3:340|RW_battery-5:17,60
0.0322583615545751,0.009737881646668695,0.0035250662298222583,0.05107178725897861,2022,XJTU-Batch-5,sigmoid,20000,0.002303633810504996,RW_battery-1,0.4895640114671563,0.001,0.01,tanh,28.377741116751263,SAGD-BLS,20,100,100,197.0,30,0.5,2,1.0,197,2026-05-24T20:27:24,RW_battery-2:32|RW_battery-4:81|RW_battery-5:22|RW_battery-2:241|RW_battery-3:282|RW_battery-4:48|RW_battery-3:48|RW_battery-3:189|RW_battery-4:56|RW_battery-2:30|RW_battery-7:68|RW_battery-3:43|RW_battery-7:79|RW_battery-2:175|RW_battery-3:188|RW_battery-3:285|RW_battery-7:113|RW_battery-2:69|RW_battery-4:133|RW_battery-4:40|RW_battery-2:23|RW_battery-3:166|RW_battery-4:132|RW_battery-5:135|RW_battery-4:119|RW_battery-2:95|RW_battery-2:132|RW_battery-6:21|RW_battery-3:340|RW_battery-5:17,60
0.03473113297393235,0.010437513058730485,0.0036740426459799134,0.05285931553315999,2022,XJTU-Batch-5,sigmoid,20000,0.0024211855440074855,RW_battery-1,0.4895640114671563,0.001,0.01,tanh,28.377741116751263,SAGD-BLS,20,100,100,197.0,30,0.5,3,1.0,197,2026-05-24T20:27:24,RW_battery-2:32|RW_battery-4:81|RW_battery-5:22|RW_battery-2:241|RW_battery-3:282|RW_battery-4:48|RW_battery-3:48|RW_battery-3:189|RW_battery-4:56|RW_battery-2:30|RW_battery-7:68|RW_battery-3:43|RW_battery-7:79|RW_battery-2:175|RW_battery-3:188|RW_battery-3:285|RW_battery-7:113|RW_battery-2:69|RW_battery-4:133|RW_battery-4:40|RW_battery-2:23|RW_battery-3:166|RW_battery-4:132|RW_battery-5:135|RW_battery-4:119|RW_battery-2:95|RW_battery-2:132|RW_battery-6:21|RW_battery-3:340|RW_battery-5:17,60
0.03373110364262877,0.010182440412803027,0.00365717386757214,0.05319783836629857,2022,XJTU-Batch-5,sigmoid,20000,0.0024246754975923205,RW_battery-1,0.4895640114671563,0.001,0.01,tanh,28.377741116751263,SAGD-BLS,20,100,100,197.0,30,0.5,4,1.0,197,2026-05-24T20:27:24,RW_battery-2:32|RW_battery-4:81|RW_battery-5:22|RW_battery-2:241|RW_battery-3:282|RW_battery-4:48|RW_battery-3:48|RW_battery-3:189|RW_battery-4:56|RW_battery-2:30|RW_battery-7:68|RW_battery-3:43|RW_battery-7:79|RW_battery-2:175|RW_battery-3:188|RW_battery-3:285|RW_battery-7:113|RW_battery-2:69|RW_battery-4:133|RW_battery-4:40|RW_battery-2:23|RW_battery-3:166|RW_battery-4:132|RW_battery-5:135|RW_battery-4:119|RW_battery-2:95|RW_battery-2:132|RW_battery-6:21|RW_battery-3:340|RW_battery-5:17,60
0.03313765478460886,0.009985895738736438,0.003464960629577435,0.051627793394111034,2022,XJTU-Batch-5,sigmoid,20000,0.0023440440274591218,RW_battery-1,0.4895640114671563,0.001,0.01,tanh,28.377741116751263,SAGD-BLS,20,100,100,197.0,30,0.5,5,1.0,197,2026-05-24T20:27:24,RW_battery-2:32|RW_battery-4:81|RW_battery-5:22|RW_battery-2:241|RW_battery-3:282|RW_battery-4:48|RW_battery-3:48|RW_battery-3:189|RW_battery-4:56|RW_battery-2:30|RW_battery-7:68|RW_battery-3:43|RW_battery-7:79|RW_battery-2:175|RW_battery-3:188|RW_battery-3:285|RW_battery-7:113|RW_battery-2:69|RW_battery-4:133|RW_battery-4:40|RW_battery-2:23|RW_battery-3:166|RW_battery-4:132|RW_battery-5:135|RW_battery-4:119|RW_battery-2:95|RW_battery-2:132|RW_battery-6:21|RW_battery-3:340|RW_battery-5:17,60
0.03580258696076576,0.010836687465406404,0.004080316321046216,0.058331563511349147,2022,XJTU-Batch-5,sigmoid,20000,0.0026480174835423116,RW_battery-2,0.47678579296917734,0.001,0.01,tanh,28.730114006514658,SAGD-BLS,20,100,100,307.0,30,0.5,1,1.0,307,2026-05-24T20:27:24,RW_battery-6:186|RW_battery-1:51|RW_battery-1:43|RW_battery-1:120|RW_battery-1:32|RW_battery-5:153|RW_battery-5:252|RW_battery-8:85|RW_battery-3:127|RW_battery-6:76|RW_battery-3:174|RW_battery-5:21|RW_battery-1:109|RW_battery-3:318|RW_battery-4:109|RW_battery-6:150|RW_battery-5:17|RW_battery-5:142|RW_battery-3:241|RW_battery-4:95|RW_battery-4:25|RW_battery-6:152|RW_battery-3:22|RW_battery-7:175|RW_battery-6:43|RW_battery-8:178|RW_battery-5:172|RW_battery-5:179|RW_battery-3:3|RW_battery-1:78,60
0.03129406098981881,0.009410903364751868,0.0031379573632957184,0.05031902031148182,2022,XJTU-Batch-5,sigmoid,20000,0.0030136175962281837,RW_battery-2,0.47678579296917734,0.001,0.01,tanh,28.730114006514658,SAGD-BLS,20,100,100,307.0,30,0.5,2,1.0,307,2026-05-24T20:27:24,RW_battery-6:186|RW_battery-1:51|RW_battery-1:43|RW_battery-1:120|RW_battery-1:32|RW_battery-5:153|RW_battery-5:252|RW_battery-8:85|RW_battery-3:127|RW_battery-6:76|RW_battery-3:174|RW_battery-5:21|RW_battery-1:109|RW_battery-3:318|RW_battery-4:109|RW_battery-6:150|RW_battery-5:17|RW_battery-5:142|RW_battery-3:241|RW_battery-4:95|RW_battery-4:25|RW_battery-6:152|RW_battery-3:22|RW_battery-7:175|RW_battery-6:43|RW_battery-8:178|RW_battery-5:172|RW_battery-5:179|RW_battery-3:3|RW_battery-1:78,60
0.034104121979355285,0.010309296119770502,0.0036665982058534394,0.0549400728382606,2022,XJTU-Batch-5,sigmoid,20000,0.0024403327062826074,RW_battery-2,0.47678579296917734,0.001,0.01,tanh,28.730114006514658,SAGD-BLS,20,100,100,307.0,30,0.5,3,1.0,307,2026-05-24T20:27:24,RW_battery-6:186|RW_battery-1:51|RW_battery-1:43|RW_battery-1:120|RW_battery-1:32|RW_battery-5:153|RW_battery-5:252|RW_battery-8:85|RW_battery-3:127|RW_battery-6:76|RW_battery-3:174|RW_battery-5:21|RW_battery-1:109|RW_battery-3:318|RW_battery-4:109|RW_battery-6:150|RW_battery-5:17|RW_battery-5:142|RW_battery-3:241|RW_battery-4:95|RW_battery-4:25|RW_battery-6:152|RW_battery-3:22|RW_battery-7:175|RW_battery-6:43|RW_battery-8:178|RW_battery-5:172|RW_battery-5:179|RW_battery-3:3|RW_battery-1:78,60
0.033794599422468236,0.010237157258647758,0.00386258065780641,0.05626200017710873,2022,XJTU-Batch-5,sigmoid,20000,0.0024444531591627616,RW_battery-2,0.47678579296917734,0.001,0.01,tanh,28.730114006514658,SAGD-BLS,20,100,100,307.0,30,0.5,4,1.0,307,2026-05-24T20:27:24,RW_battery-6:186|RW_battery-1:51|RW_battery-1:43|RW_battery-1:120|RW_battery-1:32|RW_battery-5:153|RW_battery-5:252|RW_battery-8:85|RW_battery-3:127|RW_battery-6:76|RW_battery-3:174|RW_battery-5:21|RW_battery-1:109|RW_battery-3:318|RW_battery-4:109|RW_battery-6:150|RW_battery-5:17|RW_battery-5:142|RW_battery-3:241|RW_battery-4:95|RW_battery-4:25|RW_battery-6:152|RW_battery-3:22|RW_battery-7:175|RW_battery-6:43|RW_battery-8:178|RW_battery-5:172|RW_battery-5:179|RW_battery-3:3|RW_battery-1:78,60
0.03380914849352374,0.010206122521474834,0.003592595555650551,0.05430890000575919,2022,XJTU-Batch-5,sigmoid,20000,0.002486246896616081,RW_battery-2,0.47678579296917734,0.001,0.01,tanh,28.730114006514658,SAGD-BLS,20,100,100,307.0,30,0.5,5,1.0,307,2026-05-24T20:27:24,RW_battery-6:186|RW_battery-1:51|RW_battery-1:43|RW_battery-1:120|RW_battery-1:32|RW_battery-5:153|RW_battery-5:252|RW_battery-8:85|RW_battery-3:127|RW_battery-6:76|RW_battery-3:174|RW_battery-5:21|RW_battery-1:109|RW_battery-3:318|RW_battery-4:109|RW_battery-6:150|RW_battery-5:17|RW_battery-5:142|RW_battery-3:241|RW_battery-4:95|RW_battery-4:25|RW_battery-6:152|RW_battery-3:22|RW_battery-7:175|RW_battery-6:43|RW_battery-8:178|RW_battery-5:172|RW_battery-5:179|RW_battery-3:3|RW_battery-1:78,60
