config,epochs,map_activation,enhance_activation,map_scale,enhance_scale,MAE,RMSE,residual_RMSE,runtime_sec
tanh_tanh_s1_e1,5000,tanh,tanh,1.0,1.0,0.12239810235315082,0.23426710964215672,0.5765069320005681,68.57406009999977
tanh_tanh_s2_e1,5000,tanh,tanh,2.0,1.0,0.10758591598717271,0.21806691093985286,0.5463119532587031,67.58774020000419
tanh_tanh_s4_e1,5000,tanh,tanh,4.0,1.0,0.10712468788795573,0.2242364142776264,0.557891610297996,67.39550759999838
sin_tanh_s1_e1,5000,sin,tanh,1.0,1.0,0.12826629993704025,0.2354922715932623,0.5814488038253908,66.93458079999255
sin_tanh_s2_e1,5000,sin,tanh,2.0,1.0,0.10482122778623015,0.21461568082997926,0.5594923021177529,67.54462400000193
sin_tanh_s3_e1,5000,sin,tanh,3.0,1.0,0.09540738889009569,0.19901514201637618,0.5712648066662903,67.236954100008
sin_tanh_s4_e1,5000,sin,tanh,4.0,1.0,0.09372607942841103,0.1924321129249089,0.5761810253982266,67.19019290000142
sin_tanh_s6_e1,5000,sin,tanh,6.0,1.0,0.10184085584288831,0.22502505375421522,0.6684429660982225,67.74736039999698
sin_tanh_s4_e05,5000,sin,tanh,4.0,0.5,0.10105649038483729,0.22082833169667965,0.575471597183695,67.5703782000055
sin_tanh_s4_e2,5000,sin,tanh,4.0,2.0,0.10119082993755928,0.2068942886561812,0.62768665620599,67.55948539999372
sin_tanh_s4_e1,15000,sin,tanh,4.0,1.0,0.09257080790191287,0.19001085335448029,0.5841477129488556,198.31645070000377
